,feature_image,label_image
1468,Features.672.tif,Labels.672.tif
3489,Features.943.tif,Labels.943.tif
939,Features.1090.tif,Labels.1090.tif
5418,Features_v2.98.tif,Labels_v2.98.tif
2058,Features.712.tif,Labels.712.tif
1680,Features.279.tif,Labels.279.tif
3360,Features.205.tif,Labels.205.tif
775,Features.77.tif,Labels.77.tif
5447,Features_v2.593.tif,Labels_v2.593.tif
1662,Features.810.tif,Labels.810.tif
1200,Features.469.tif,Labels.469.tif
4228,Features_v2.973.tif,Labels_v2.973.tif
4920,Features_v2.855.tif,Labels_v2.855.tif
3967,Features_v2.356.tif,Labels_v2.356.tif
5913,Features_v2.6.tif,Labels_v2.6.tif
2850,Features.453.tif,Labels.453.tif
2092,Features.623.tif,Labels.623.tif
4737,Features_v2.1039.tif,Labels_v2.1039.tif
698,Features.1322.tif,Labels.1322.tif
5517,Features_v2.351.tif,Labels_v2.351.tif
4543,Features_v2.76.tif,Labels_v2.76.tif
514,Features.757.tif,Labels.757.tif
2323,Features.637.tif,Labels.637.tif
4874,Features_v2.656.tif,Labels_v2.656.tif
4329,Features_v2.539.tif,Labels_v2.539.tif
6636,Features_v2.415.tif,Labels_v2.415.tif
3836,Features_v2.758.tif,Labels_v2.758.tif
3108,Features.700.tif,Labels.700.tif
2984,Features.970.tif,Labels.970.tif
2278,Features.689.tif,Labels.689.tif
1437,Features.784.tif,Labels.784.tif
5661,Features_v2.290.tif,Labels_v2.290.tif
2335,Features.29.tif,Labels.29.tif
2653,Features.177.tif,Labels.177.tif
1544,Features.695.tif,Labels.695.tif
4261,Features_v2.1069.tif,Labels_v2.1069.tif
354,Features.700.tif,Labels.700.tif
4112,Features_v2.394.tif,Labels_v2.394.tif
715,Features.454.tif,Labels.454.tif
1351,Features.534.tif,Labels.534.tif
5468,Features_v2.514.tif,Labels_v2.514.tif
1101,Features.448.tif,Labels.448.tif
2756,Features.488.tif,Labels.488.tif
2646,Features.561.tif,Labels.561.tif
6408,Features_v2.297.tif,Labels_v2.297.tif
5381,Features_v2.676.tif,Labels_v2.676.tif
6336,Features_v2.219.tif,Labels_v2.219.tif
5157,Features_v2.271.tif,Labels_v2.271.tif
5650,Features_v2.208.tif,Labels_v2.208.tif
2818,Features.343.tif,Labels.343.tif
1847,Features.790.tif,Labels.790.tif
5142,Features_v2.333.tif,Labels_v2.333.tif
2594,Features.597.tif,Labels.597.tif
6123,Features_v2.187.tif,Labels_v2.187.tif
65,Features.199.tif,Labels.199.tif
5636,Features_v2.676.tif,Labels_v2.676.tif
2501,Features.443.tif,Labels.443.tif
1615,Features.744.tif,Labels.744.tif
1757,Features.305.tif,Labels.305.tif
3984,Features_v2.164.tif,Labels_v2.164.tif
2339,Features.78.tif,Labels.78.tif
2075,Features.349.tif,Labels.349.tif
828,Features.866.tif,Labels.866.tif
6403,Features_v2.185.tif,Labels_v2.185.tif
6466,Features_v2.1013.tif,Labels_v2.1013.tif
4736,Features_v2.251.tif,Labels_v2.251.tif
2933,Features.1026.tif,Labels.1026.tif
4290,Features_v2.91.tif,Labels_v2.91.tif
3512,Features_v2.792.tif,Labels_v2.792.tif
1321,Features.941.tif,Labels.941.tif
4473,Features_v2.319.tif,Labels_v2.319.tif
638,Features.464.tif,Labels.464.tif
3974,Features_v2.1010.tif,Labels_v2.1010.tif
682,Features.951.tif,Labels.951.tif
2051,Features.1028.tif,Labels.1028.tif
4495,Features_v2.56.tif,Labels_v2.56.tif
4824,Features_v2.238.tif,Labels_v2.238.tif
2645,Features.736.tif,Labels.736.tif
