indexId,Predicted
23,Egretta eulophotes
282,Egretta eulophotes
443,Cacatua haematuropygia
231,Anas luzonica
691,Pithecophaga jeffeyri
356,Alcedo argentata
774,Anas luzonica
551,Anas luzonica
343,Alcedo argentata
143,Egretta eulophotes
383,Alcedo argentata
560,Anas luzonica
742,Alcedo argentata
647,Anas luzonica
226,Alcedo argentata
186,Anas luzonica
583,Alcedo argentata
482,Alcedo argentata
100,Alcedo argentata
734,Anas luzonica
421,Anas luzonica
260,Anas luzonica
490,Anas luzonica
118,Egretta eulophotes
522,Egretta eulophotes
58,Anas luzonica
310,Alcedo argentata
462,Anas luzonica
345,Anas luzonica
270,Alcedo argentata
175,Egretta eulophotes
676,Anas luzonica
604,Alcedo argentata
223,Alcedo argentata
777,Alcedo argentata
248,Anas luzonica
255,Anas luzonica
658,Anas luzonica
446,Alcedo argentata
211,Alcedo argentata
671,Anas luzonica
18,Anas luzonica
102,Anas luzonica
771,Alcedo argentata
407,Egretta eulophotes
41,Anas luzonica
386,Egretta eulophotes
284,Anas luzonica
457,Anas luzonica
433,Cacatua haematuropygia
315,Anas luzonica
162,Egretta eulophotes
612,Anas luzonica
502,Alcedo argentata
411,Alcedo argentata
380,Anas luzonica
591,Anas luzonica
809,Alcedo argentata
585,Alcedo argentata
749,Pithecophaga jeffeyri
785,Anas luzonica
706,Alcedo argentata
565,Alcedo argentata
27,Anas luzonica
113,Cacatua haematuropygia
340,Alcedo argentata
684,Egretta eulophotes
98,Alcedo argentata
283,Pithecophaga jeffeyri
335,Alcedo argentata
5,Alcedo argentata
204,Anas luzonica
628,Alcedo argentata
350,Anas luzonica
171,Alcedo argentata
542,Alcedo argentata
566,Anas luzonica
2,Alcedo argentata
9,Alcedo argentata
303,Egretta eulophotes
